"OO_6046"	"0.375 - 42.666666666666664"
"OO_6047"	"0.10880829015544041 - 90.47619047619048"
"OO_6048"	"0.17307692307692307 - 16.555555555555557"
"OO_6049"	"0.33793103448275863 - 28.367346938775512"
"OO_6050"	"0.20454545454545456 - 21.296296296296298"
"OO_6051"	"0.5275590551181102 - 44.52238805970149"
"OO_6052"	"0.3904109589041096 - 58.68421052631579"
"OO_6053"	"0.10559006211180125 - 84.82352941176471"
"OO_6054"	"0.5074626865671642 - 38.73529411764706"
"OO_6055"	"0.5 - 41.13333333333333"
"OO_6056"	"0.4066666666666667 - 23.950819672131146"
"OO_6057"	"0.42473118279569894 - 35.34177215189873"
"OO_6058"	"0.37037037037037035 - 49.8"
"OO_6059"	"0.2768361581920904 - 27.836734693877553"
"OO_6060"	"0.37168141592920356 - 40.95238095238095"
"OO_6190"	"0.5087108013937283 - 33.694063926940636"
"OO_6191"	"0.4856870229007634 - 32.011787819253435"
"OO_6192"	"0.48 - 34.713541666666664"
"OO_6193"	"0.48725212464589235 - 26.796511627906977"
"OO_6194"	"0.2925824175824176 - 28.539906103286384"
"OO_6195"	"0.4670750382848392 - 32.3016393442623"
"OO_6196"	"0.39217877094972065 - 27.632478632478634"
"OO_6197"	"0.4471718249733191 - 42.14558472553699"
"OO_6198"	"0.4812108559498956 - 39.08676789587852"
"OO_6199"	"0.4657236126224157 - 38.98364485981308"
"OO_6200"	"0.5223463687150838 - 36.68449197860963"
"OO_6201"	"0.5219842164599775 - 29.90928725701944"
"OO_6202"	"0.4146341463414634 - 23.294117647058822"
"OO_6203"	"0.46812080536912754 - 34.344086021505376"
"OO_6204"	"0.2946145723336853 - 28.003584229390682"
"OO_6205"	"0.4554280670785525 - 32.166666666666664"
"OO_6206"	"0.4564032697547684 - 31.608955223880596"
"OO_6207"	"0.511377245508982 - 29.370023419203747"
"OO_6208"	"0.46400778210116733 - 32.61215932914046"
"OO_6209"	"0.47274436090225563 - 35.27833001988071"
"OO_6210"	"0.49403341288782815 - 31.164251207729468"
"OO_6211"	"0.47801578354002255 - 39.174528301886795"
"OO_6212"	"0.4280821917808219 - 39.116"
"OO_6213"	"0.5970149253731343 - 40.99375"
"OO_6214"	"0.38926174496644295 - 31.2816091954023"
"OO_6215"	"0.43023255813953487 - 29.216216216216218"
"OO_6216"	"0.5360134003350083 - 29.296875"
"OO_6217"	"0.5324165029469549 - 34.321033210332104"
"OO_6218"	"0.42857142857142855 - 33.75268817204301"
"OO_6219"	"0.5473411154345007 - 38.38625592417062"
"OO_6220"	"0.5184025058731402 - 35.80815709969789"
