"HOU_RSW"	"0.5555555555555556_30.1"
"HOU_SNA"	"0.3518425037859667_22.225251076040173"
"HPN_CLT"	"0.3913419913419913_42.0287610619469"
"HRL_AUS"	"0.36337706788362806_29.49607535321821"
"HSV_DFW"	"0.3787823550856726_40.66025024061598"
"HSV_DTW"	"0.2294930875576037_55.53815261044177"
"HTS_MYR"	"0.3448275862068966_54.65"
"HVN_CLT"	"1.0_51.0"
"HYS_DEN"	"0.27289719626168224_43.06575342465754"
"IAD_DAY"	"0.48148148148148145_45.11764705882353"
"IAD_EGE"	"0.65_34.15384615384615"
"IAD_IAH"	"0.39645055102332905_37.994584837545126"
"IAD_IND"	"0.43746031746031744_37.77068214804064"
"IAD_MCO"	"0.35654416505480335_39.683845690174806"
"IAD_MSP"	"0.30630178257594776_50.80327868852459"
"IAD_SFO"	"0.34065199506375976_41.22777358490566"
"IAD_TYS"	"0.49285033365109626_42.02514506769826"
"IAH_AEX"	"0.2827312591355189_29.155096011816838"
"IAH_BFL"	"0.4404553415061296_30.530815109343937"
"IAH_BHM"	"0.35768137436658015_29.153075328265377"
"IAH_CAK"	"0.23645320197044334_34.125"
"IAH_CLT"	"0.3651837070078648_30.50980392156863"
"IAH_CRP"	"0.3621855844430353_31.025386635541288"
"IAH_CRW"	"0.33779477374123645_27.986792452830187"
"IAH_ELP"	"0.38310708898944196_31.98532569792412"
"IAH_EWR"	"0.41263919507094005_44.14013698630137"
"IAH_LCH"	"0.25740669488264717_34.38266068759342"
"IAH_LFT"	"0.329452485840151_33.086596625278574"
"IAH_MLU"	"0.24595141700404857_32.1440329218107"
"IAH_MSN"	"0.42857142857142855_4.333333333333333"
"IAH_ORF"	"0.47522935779816516_35.04633204633205"
"IAH_RAP"	"0.28125_19.27777777777778"
"IAH_RDU"	"0.39955910719206394_30.221379310344826"
"IAH_SAN"	"0.34650221622663324_34.09788654060067"
"IAH_SMF"	"0.34761770510290385_32.937550689375506"
"IAH_STT"	"0.2185430463576159_32.333333333333336"
"IAH_VPS"	"0.367026055705301_32.32986536107711"
"ICT_DFW"	"0.3636545381847261_42.21165475536009"
"IDA_MSP"	"0.35_22.19047619047619"
"ILG_DEN"	"0.5323741007194245_58.310810810810814"
"IND_AUS"	"0.3024390243902439_34.20967741935484"
"IND_CHS"	"0.44776119402985076_13.466666666666667"
"IND_DFW"	"0.3326131316768695_42.2168892096716"
"IND_DTW"	"0.25927387529597473_38.39193302891933"
"IND_EVV"	"1.0_129.0"
"IND_JFK"	"0.3364864864864865_48.4136546184739"
"IND_MYR"	"0.40476190476190477_51.76470588235294"
"IND_SAV"	"0.45161290322580644_36.17857142857143"
"IND_SLC"	"0.2613168724279835_29.633858267716537"
"IND_XNA"	"0.0_0"
"INL_HIB"	"0.2726027397260274_48.879396984924625"
"ISP_MSY"	"0.39285714285714285_31.575757575757574"
"JAC_IAH"	"0.2719546742209632_75.22916666666667"
"JAC_MSP"	"0.24329159212880144_42.77205882352941"
"JAC_SFO"	"0.5_57.718820861678005"
"JAN_CLT"	"0.4119601328903654_36.840725806451616"
"JAX_IAH"	"0.3718898888300688_46.79430604982206"
"JAX_IND"	"0.5_62.225806451612904"
"JAX_MKE"	"0.4666666666666667_25.428571428571427"
"JAX_MSP"	"0.288135593220339_48.76470588235294"
"JFK_BQN"	"0.4494336569579288_35.706570657065704"
"JFK_CLT"	"0.34233616671236633_39.2637164597517"
"JFK_DAB"	"0.31086142322097376_32.43072289156626"
"JFK_ORF"	"0.3808139534883721_53.16946564885496"
"JFK_RDU"	"0.37638794470881487_43.66164960866948"
"JFK_SAN"	"0.36178255247189894_37.353313170195214"
"JFK_SMF"	"0.41229193341869397_48.20962732919255"
"JFK_STT"	"0.3286529179464677_48.1068090787717"
"JNU_ANC"	"0.2826205641492266_37.27881519639408"
"JNU_KTN"	"0.21014492753623187_27.732758620689655"
"JNU_PSG"	"0.39149888143176736_25.697142857142858"
"JNU_SEA"	"0.34591565909761135_25.95140664961637"
"KOA_SAN"	"0.239067055393586_30.23780487804878"
"KOA_SMF"	"0.2_37.0"
"KTN_SEA"	"0.32245258050286724_29.342909256725946"
"LAS_BUF"	"0.3752501667778519_27.595555555555556"
"LAS_EUG"	"0.4067796610169492_37.270833333333336"
"LAS_FSD"	"0.24919093851132687_41.324675324675326"
"LAS_GSP"	"0.42424242424242425_28.928571428571427"
