"AA_2514"	"0.3926512968299712_40.24036697247706"
"AA_2521"	"0.3460559796437659_36.78921568627451"
"AA_2528"	"0.39585605234460197_36.72176308539945"
"AA_2535"	"0.43847874720357943_34.49744897959184"
"AA_2542"	"0.3579295154185022_43.941538461538464"
"AA_2549"	"0.38646482635796975_30.410138248847925"
"AA_2556"	"0.350920245398773_29.332167832167833"
"AA_2563"	"0.2768878718535469_32.44214876033058"
"AA_2570"	"0.4034378159757331_38.84461152882206"
"AA_2577"	"0.44_38.31818181818182"
"AA_258"	"0.36437797416723317_28.520522388059703"
"AA_2584"	"0.47577092511013214_26.27777777777778"
"AA_2591"	"0.3230309072781655_33.19135802469136"
"AA_2598"	"0.4358974358974359_46.411764705882355"
"AA_2605"	"0.3329369797859691_34.267857142857146"
"AA_2612"	"0.3764705882352941_41.57692307692308"
"AA_2619"	"0.3933333333333333_43.227118644067794"
"AA_2626"	"0.4304694419840567_32.17078189300412"
"AA_2633"	"0.5357798165137615_41.76027397260274"
"AA_2640"	"0.37790697674418605_28.02769230769231"
"AA_2647"	"0.45560747663551404_39.63846153846154"
"AA_265"	"0.3512919186366135_31.04225352112676"
"AA_2654"	"0.36803874092009686_54.8421052631579"
"AA_2661"	"0.2775061124694376_41.59911894273128"
"AA_2668"	"0.36237623762376237_40.30418943533698"
"AA_2675"	"0.43822393822393824_49.17180616740088"
"AA_2682"	"0.4020979020979021_72.86086956521739"
"AA_2689"	"0.5523809523809524_46.49425287356322"
"AA_2696"	"0.3333333333333333_8.0"
"AA_2703"	"1.0_8.5"
"AA_2710"	"0.3953488372093023_29.41176470588235"
"AA_2717"	"0.41346153846153844_36.27131782945737"
"AA_272"	"0.4164962508520791_31.847790507364977"
"AA_2724"	"0.47495961227786754_39.523809523809526"
"AA_2731"	"0.35135135135135137_33.47802197802198"
"AA_2738"	"0.4492512479201331_47.00370370370371"
"AA_2745"	"0.4170940170940171_26.278688524590162"
"AA_2752"	"0.4401041666666667_37.37278106508876"
"AA_2759"	"0.41899441340782123_25.64"
"AA_2766"	"0.3923705722070845_39.72222222222222"
"AA_2773"	"0.3922077922077922_36.496688741721854"
"AA_2780"	"0.3611111111111111_26.37869822485207"
"AA_2787"	"0.34098360655737703_42.52884615384615"
"AA_279"	"0.43690036900369006_36.942567567567565"
"AA_2794"	"0.375_33.99186991869919"
"AA_2801"	"0.4541984732824427_42.39495798319328"
"AA_2808"	"0.3655913978494624_27.08823529411765"
"AA_2815"	"0.391304347826087_28.555555555555557"
"AA_2822"	"0.38271604938271603_51.54838709677419"
